Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,..,1.9622391202036,2.0445228359303,2.1052082248002,2.16119547210755,2.23370858013984,2.26965142881696,2.30666800699098,2.36068343389987,2.39272037816067,2.4452057451213,2.42851631309344,2.44258389899974,2.53475893911385,2.5268442145866,2.41525048462279,2.21344608328696,2.1280995644747,2.00869785436837,0.323658822560684,-3.62580787978915,-9.81977073931242,-8.25803438536739,-0.669999256586122,2.46291172007885,2.09257523944359,-0.0593340233066949,-0.282849651384286,1.18267114653938,2.9987647953118,1.43458821147838,1.59132588364829,8.15641941048095,11.8072591071712,8.38872960212999,4.89368011973163,4.00540467357125,3.80450803445817,3.7646866376293,3.72811603964771,1.21217597601851,0.762004896898895,5.25202958527833,6.14519400188515,3.57583485398158,3.51921696042587,4.09270201656348,1.8925975396006,2.18654618162979,3.64638090813246,2.93468670173474,3.69150308391849,4.04786256315645,3.41822667584596,3.63251884652008,3.11995924146907,2.53571991833963,2.80833730805469,2.91080959861384,2.98438913621969,3.15360920291972,2.35609779179185,1.43570437048699,2.13559384981397
Afghanistan,AFG,"Population, total",SP.POP.TOTL,9035043,9214083,9404406,9604487,9814318,10036008,10266395,10505959,10756922,11017409,11290128,11567667,11853696,12157999,12469127,12773954,13059851,13340756,13611441,13655567,13169311,11937581,10991378,10917982,11190221,11426852,11420074,11387818,11523298,11874088,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-10.1194841059326,22.0201902696299,2.34567163632688,-2.14821228495553,7.38337728197978,1.13248505528998,11.6923032922081,1.6772791560615,17.0438963216074,11.0550305527288,-3.21329500579925,8.27936899310519,2.0520682606117,-0.939984755736006,-1.66505744749013,-0.300121027406746,-0.195569548342789,-1.71374269254262,0.856294729087764,-5.38251464221077,-22.5844818732987,-7.57666891152213,0.540655554216826
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1992.42439419795
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32567375969.9946,29495629513.1972,37931379899.2707,41281584746.4411,41865355064.2988,46566715049.4503,49061481753.757,55844878995.5875,58036781460.4599,70451155676.9393,80569661676.7348,80913174277.9269,91231454557.6403,96341095375.7699,98965950294.897,100402257640.593,102671664129.973,105389386367.805,106642706595.941,110814146350.335,108208794210.783,85767546197.7544,80415503801.351,82595477072.046
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.3468,21.6376,24.1881,24.7682,24.7286,25.0025,25.1965,26.2881,29.5482,32.4943,36.3681,40.4478,38.3243,36.6855,36.8512,36.8394,36.0651,37.123,36.9844,36.4139,36.0774,..,..,..
Albania,ALB,Population growth (annual %),SP.POP.GROW,..,3.12085537059054,3.05673050279088,2.95374876199632,2.88068642624326,2.75402123804227,2.63456387954101,2.63019034549493,2.84251071048949,2.8960833877323,2.55085117829323,2.4229720170788,2.49497310670312,2.36255222384825,2.29721417566909,2.3011538096943,2.20823525497527,2.21325217885547,2.07574189532527,1.98945701957156,2.04796386136191,2.00297430640894,2.11327178253342,2.12088533357751,2.10393661802013,2.05599460887143,1.93322081083734,1.99703995612751,1.88671052887888,2.68786198874035,1.79908559333186,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.64864854723071,0.795840071093252,-1.01680217228552,-3.30749720231945,-0.290595348322142,3.61465554406624,-2.74949637948961,-3.26252233446822,6.9236172850875,-11.187905298961,-27.5668208369982,-6.62255121235502,10.2299493531342,8.96976165855091,14.0244959298688,9.78017987930293,-10.3611049709411,9.51648443822282,13.6080691237129,7.63002243937019,9.31439713939355,4.85047533419143,5.9242115424577,5.9565695961824,6.06788243935723,6.57292298236362,6.78722893588666,8.3281084229243,4.05313986380152,4.22308382721044,2.82164245514005,1.58487281451019,1.18723435286199,1.98538809180384,2.51682705417127,3.48029321671386,3.89811226746693,4.27631155105293,2.49828904058442,-2.75693978209092,9.9843075683015,6.10893999509641,5.13713201542561
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5327.74745817214,3859.0568617301,3603.48884474812,3972.1239285117,4328.41397768147,4935.45221980927,5418.14832476367,4856.76828935362,5318.9618878105,6042.7698981677,6503.8345973574,7109.62758104454,7454.47831321598,7896.09737787753,8366.43391357314,8874.09928781527,9457.38699938185,10099.2815063827,10940.3606201706,11383.7887377103,11864.5356788164,12199.3104546351,12392.6540095883,12539.7838552215,12788.747230621,13110.6178808108,13566.905825586,14095.7590458888,14698.5376181768,15065.7495726178,14650.3959291802,16113.1365187234,17097.4783599802,17975.7983946412
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17509865786.676,12606728365.3313,11700668814.9621,12819183916.8747,13883543656.3165,15733155619.0725,17164872691.746,15290471326.7745,16640531834.8718,18785630118.486,20090520674.7711,21756690363.5678,22743687878.4051,24001103927.3546,25324685103.9172,26724234641.9649,28301675092.8392,29995037761.7421,32244678020.8774,33326257821.633,34561641587.6414,35441375736.2537,35943666082.064,36303827920.9809,36948020778.976,37767796261.1054,39019791411.8736,40503557500.7226,42131535463.839,43000526838.4197,41575611437.228,45304758103.053,47491477568.2551,49361039069.3297
Albania,ALB,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,..,..,..,..,..,31.7,..,..,30.6,..,..,30,..,..,..,29,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..,..
Albania,ALB,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5797,8.7674,9.3894,9.5784,9.7871,9.3774,9.4227,9.377,9.1615,9.1406,9.5482,12.7792,13.4594,9.7245,10.0997,10.0399,9.6565,10.4641,10.4528,9.9186,9.2674,..,..,..
Algeria,DZA,Population growth (annual %),SP.POP.GROW,..,1.76948075825483,1.46729511141391,1.5250503398561,1.63645374073926,1.51689212029344,1.79594982522896,2.24659491499711,2.27656997261579,2.27673798425895,2.25807557630346,2.26112204807888,2.30071080498365,2.35693093480566,2.42352107497488,3.53855084053844,4.55438548106303,3.63134003810176,2.84455905408899,2.98067603263398,3.11411291253823,3.24408261021287,3.33411862917228,3.39265358294265,3.41344431204219,3.4040544976165,3.29365380679393,3.02312805978541,2.80088866145511,2.63992378375919,2.47896733157691,2.38357644702334,2.43525019358237,2.40609915355137,2.21250190534871,2.06869750539347,1.95770195001196,1.86401965879386,1.59253627896162,1.3885288478211,1.3996685583388,1.37329134127777,1.33039477696898,1.32961524189621,1.39644042529783,1.46330884553002,1.54127363754195,1.6690716779345,1.81885306168943,1.91588522187232,1.9470588317966,1.9568943735315,1.99280790148967,2.01953115835273,2.03786524232338,2.05624795728459,2.05569111181654,2.03200060784518,1.93780623340147,1.84041291439333,1.71191216459393,1.61936460233826,1.58758210690673,1.49897601193923
Algeria,DZA,"Population, total",SP.POP.TOTL,11424922,11628883,11800771,11982118,12179813,12365976,12590069,12876118,13172614,13475960,13783719,14098936,14427072,14771147,15133502,15678596,16409170,17015994,17506974,18036655,18607174,19220704,19872348,20558115,21271969,22008544,22745499,23443624,24109536,24754485,25375810,25987928,26628568,27277048,27887279,28470191,29033044,29579301,30054133,30474354,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-15.1207305043075,-20.8548956878044,32.28091690407,4.12149478069479,4.60801149224909,-6.49936512383931,7.02141366831901,8.30237960344564,5.99242992076996,6.43200232891483,-13.3141204983548,24.525779768096,1.39498097018304,4.9210705603048,1.39325532630959,3.56112872678158,1.50485663144283,6.15192488397878,4.32153384386436,-2.29975786801904,-0.287791268389398,2.91098891233696,1.88412406994871,2.05622585528499,0.229398496603636,-2.85296270395477,-3.65704095206092,-3.73441250470079,1.67998285930979,-1.66808064996022,-3.52712947521344,-0.649140042541546,-4.42745904821612,-3.06850837504639,1.67474517170693,2.08184989323905,-0.767068612417248,3.43950503748466,1.77694241852429,2.35726434985169,1.59517814425874,4.00705031536965,5.09333212600842,3.05086148257989,3.86890214272142,1.32618894948084,1.39346833534671,0.652527944641818,-0.720420575171744,2.77921908102958,1.00399237186306,0.379563284080547,0.548743629011298,2.00005201118192,1.099620617724,1.78594064716746,-0.541667023472826,-0.546019580974331,-0.939992961238175,-6.61247509796932,2.13263632780773,1.96825188007162,2.55120301937745
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11728.5457286202,11314.8647352122,11241.4154174565,10743.7063534088,10414.034824164,10588.4433695616,10808.8788665465,10725.967349407,11094.8875367088,11292.0372996362,11558.2204692724,11742.5946760635,12213.1263530633,12835.1814411939,13226.7650480025,13738.4956443574,13920.6940554178,14114.6745191405,14206.7767146731,14104.4281721519,14496.4211311825,14641.9640935327,14697.5396133,14778.1914255494,15073.7629403724,15239.5171455316,15511.6858766657,15427.6641894871,15343.4261221255,15199.1989965648,14194.1557478261,14496.8654697299,14782.2002968893,15159.324237194
Algeria,DZA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,297621347985.778,294049890068.433,299342794859.989,293056593899.836,290419094657.178,301455005124.102,313814655723.114,317266616744.282,333447225648.289,344117542050.316,357194008652.805,367909828909.169,387776959670.264,412982462048.832,431566672841.029,454871273174.444,468062540096.504,482572478839.495,494636790810.483,500572432300.208,524599909050.618,540337906322.136,553306016073.868,567691972491.788,590967343363.952,609878298351.598,633663551987.31,643168505267.12,652172864340.86,658042420119.927,625140299113.931,648895630480.26,672255873177.55,699818363977.829
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.4,..,..,..,..,..,..,35.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150.1857,139.5683,139.1266,152.9503,151.1086,156.3404,164.692,164.4793,172.623,168.8146,176.7724,183.4854,199.802,204.7935,217.7383,228.0356,225.957,231.0239,239.7553,246.2564,232.984,..,..,..
